id,equipment_id,person_id,verification_type,recognition_name,image_url,equipment_verification_id,add_time,update_time,operator_id,remark,recognition_type,temperature_val,signSimilar,qrCode
994,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/1254dc1df83e48f7aad8777171aec137/20200811120452_20200811120153.jpg,20200811120153,2020-08-11 12:01:53,2020-08-11 12:04:52,1,,0,36.3℃,,
995,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/27367376756c4269837fb369c06bde74/20200811120452_20200811120150.jpg,20200811120150,2020-08-11 12:01:50,2020-08-11 12:04:52,1,,0,36.4℃,,
996,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/5ded9fa0525a489dbcc21162de9acea5/20200811120452_20200811115950.jpg,20200811115950,2020-08-11 11:59:50,2020-08-11 12:04:52,1,,0,36.6℃,,
997,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/99b820816097442b96123f2e0f6962e8/20200811120453_20200807115443.jpg,20200807115443,2020-08-07 11:54:43,2020-08-11 12:04:53,1,,0,36.2℃,,
998,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/c9c26108785149a98535ab59bfa7b737/20200811120453_20200807115439.jpg,20200807115439,2020-08-07 11:54:39,2020-08-11 12:04:53,1,,0,36.2℃,,
999,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/81dfabe39a1541c9ae3fa272865aa65a/20200811120453_20200807115438.jpg,20200807115438,2020-08-07 11:54:38,2020-08-11 12:04:53,1,,0,36.5℃,,
1000,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/2f0d5d3bb2ae4cd2b8dea58ac96e001d/20200811120453_20200807115436.jpg,20200807115436,2020-08-07 11:54:36,2020-08-11 12:04:53,1,,0,36.5℃,,
1001,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/1c4bc999830e445f94bb7f7e66dfb4b2/20200811120453_20200807115434.jpg,20200807115434,2020-08-07 11:54:34,2020-08-11 12:04:53,1,,0,36.3℃,,
1002,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/cdc1966ccffd4b38b927383726667ae3/20200811120453_20200807115431.jpg,20200807115431,2020-08-07 11:54:31,2020-08-11 12:04:53,1,,0,36.5℃,,
1003,1,-2,3,未登録(- - -),C:\Program Files (x86)\ArcSoftDoorSingle/VerificationImage/202008/11/7c8c8412e55043cca19306cb3eddf105/20200811120453_20200807115426.jpg,20200807115426,2020-08-07 11:54:26,2020-08-11 12:04:53,1,,0,36.3℃,,
